miRNA	transcript
hsa-mir-363	AC002407.1
hsa-mir-365a	MIR193BHG
hsa-mir-367	MIR302CHG
hsa-mir-370	AL117190.1
hsa-mir-370	MEG8
hsa-mir-374a	FTX
hsa-mir-374b	FTX
hsa-mir-378a	PPARGC1B
hsa-mir-379	MEG8
hsa-mir-381	MIR381HG
hsa-mir-383	SGCZ
hsa-mir-421	FTX
hsa-mir-423	NSRP1
hsa-mir-424	MIR503HG
hsa-mir-425	DALRD3
hsa-mir-431	AL117190.1
hsa-mir-432	AL117190.1
hsa-mir-433	AL117190.1
hsa-mir-449a	CDC20B
hsa-mir-451a	AC024267.1
hsa-mir-452	GABRE
hsa-mir-454	SKA2
hsa-mir-455	COL27A1
hsa-mir-483	IGF2
hsa-mir-483	AC132217.2
hsa-mir-483	INS-IGF2
hsa-mir-484	NDE1
hsa-mir-486-1	ANK1
hsa-mir-487b	MIR381HG
hsa-mir-488	ASTN1
hsa-mir-490	CHRM2
hsa-mir-493	AL117190.1
hsa-mir-494	MEG8
hsa-mir-495	MEG8
hsa-mir-497	MIR497HG
hsa-mir-497	AC040977.2
hsa-mir-499a	MYH7B
hsa-mir-500a	CLCN5
hsa-mir-501	CLCN5
hsa-mir-503	MIR503HG
hsa-mir-504	FGF13
hsa-mir-505	ATP11C
hsa-mir-514a-2	AL591022.1
hsa-mir-514a-3	AL591022.1
hsa-mir-519a-2	AC011453.1
hsa-mir-532	CLCN5
hsa-mir-539	MIR381HG
hsa-mir-543	MEG8
hsa-mir-544a	MIR381HG
hsa-mir-545	FTX
hsa-mir-548a-1	MIR548A1HG
hsa-mir-548d-1	ATAD2
hsa-mir-548h-1	ESR2
hsa-mir-548h-3	HS3ST3A1
hsa-mir-548j	TPST2
hsa-mir-548k	PPFIA1
hsa-mir-561	GULP1
hsa-mir-569	TNIK
hsa-mir-570	MUC20-OT1
hsa-mir-574	FAM114A1
hsa-mir-577	UGT8
hsa-mir-579	ZFR
hsa-mir-582	PDE4D
hsa-mir-590	EIF4H
hsa-mir-592	GRM8
hsa-mir-598	XKR6
hsa-mir-603	KIAA1217
hsa-mir-615	HOXC4
hsa-mir-615	AC012531.2
hsa-mir-615	HOXC5
hsa-mir-615	AC012531.3
hsa-mir-623	UBAC2
hsa-mir-626	MGA
hsa-mir-629	TLE3
hsa-mir-630	ARIH1
hsa-mir-640	GATAD2A
hsa-mir-641	AKT2
hsa-mir-642a	GIPR
hsa-mir-646	MIR646HG
hsa-mir-651	AC079142.1
hsa-mir-653	CALCR
hsa-mir-655	MIR381HG
hsa-mir-660	CLCN5
hsa-mir-664a	SNORA36B
hsa-mir-664a	RAB3GAP2
hsa-mir-7-1	HNRNPK
hsa-mir-7-3	MIR7-3HG
hsa-mir-708	TENM4
hsa-mir-744	MAP2K4
hsa-mir-766	SEPTIN6
hsa-mir-767	GABRA3
hsa-mir-769	CCDC61
hsa-mir-874	KLHL3
hsa-mir-885	ATP2B2
hsa-mir-889	MIR381HG
hsa-mir-9-1	MIR9-1HG
hsa-mir-9-2	LINC00461
hsa-mir-9-3	MIR9-3HG
hsa-mir-92a-1	MIR17HG
hsa-mir-92a-2	AC002407.1
hsa-mir-92b	THBS3-AS1
hsa-mir-93	MCM7
hsa-mir-934	VGLL1
hsa-mir-943	NELFA
hsa-mir-944	TP63
hsa-mir-95	ABLIM2
hsa-mir-98	HUWE1
hsa-mir-99a	MIR99AHG
hsa-mir-99b	SPACA6
